text,t_first_line,t_last_line,n_chars,n_tokens,video_id,video_duration,start_link,response,response_2
[Music] hi guys and welcome to my youtube channel so today we're doing a video on crossroads small and big crossroads this is ted uh we've been driving for about i think about two weeks three weeks nearly yeah yeah probably done about eight eight hours or so think so yeah yeah so um last lesson we worked on big crossroads on dual carriageways turning near side and offside today's lesson we're gonna go over some small crossroads first and then work onto big crossroads just looking at the difference between nearside and offside now do you remember when you would use a near side turn and when you would use an offside then this had to be like a smaller junction and you turned before the traffic yeah and offside probably a bigger one you turn behind the behind the cars behind the traffic yeah so with nearside you you're able to angle yourself sort of 45 and then wait in the middle yeah whereas offside you wait in a straight position,0.0,67.04,941,196,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=0,2 - The driving situation is not critical as it seems like a routine driving lesson with an experienced driver teaching a new driver.,"[Music] Hi guys, and welcome to my YouTube channel. So today, we're doing a video on crossroads, small and big crossroads. This is Ted. We've been driving for about, I think, two or three weeks, nearly. Yeah, yeah, probably done about eight hours or so. Think so, yeah, yeah. So, um, last lesson, we worked on big crossroads on dual carriageways turning near side and offside. Today's lesson, we're gonna go over some small crossroads first and then work onto big crossroads, just looking at the difference between nearside and offside. Now, do you remember when you would use a nearside turn and when you would use an offside? Then, this had to be like a smaller junction and you turn before the traffic. Yeah, and offside, probably a bigger one, you turn behind the cars, behind the traffic. Yeah. So with nearside, you're able to angle yourself sort of 45° and then wait in the middle, whereas offside, you wait in a straight position."
yeah okay so whenever you're ready we're going to get started,68.32,71.36,61,13,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=68,2 - The situation is not critical at all as the car has not moved yet and they are just getting started with the lesson.,"Yeah, okay. So, whenever you're ready, we're going to get started."
just give it a minute and remember to take your blind spot there okay and we're off,87.28,97.6,83,18,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=87,"Critical Level: 2. 

The driving situation is not very critical as the instruction is just to take a moment to remember to check the blind spot before driving off.","Just give it a minute and remember to take your blind spot. There, okay? And we're off."
okay we're going to take the next road on the left just after the um should i take this on a first gear um one look when we get close to using mirrors though one approach and signal start breaking are there any parked cars on the entrance we can just take it in a second just break enough and turn it in good if it's a narrow entrance or there are parked cars on approach and you can't see into the road then take it in first so turn left in here again so again break as much as you need start turning in try and use pull and push on the steering there so you're not crossing your arms over,117.92,165.12,590,126,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=117,"Critical level: 4 - While there are potential obstacles to be aware of, such as parked cars, the road situation appears to be relatively clear and manageable.","Okay, we're going to take the next road on the left, just after the um... Should I take this on first gear? Um, one look when we get close to using mirrors. Though, one approach and signal, start braking. Are there any parked cars on the entrance? We can just take it in a second. Just brake enough and turn it in. Good. If it's a narrow entrance, or there are parked cars on approach and you can't see into the road, then take it in first. So, turn left in here again. So again, brake as much as you need, start turning in. Try and use pull and push on the steering, so you're not crossing your arms over."
what should we do with that great oh he's turning take the road on the right just there now this one here looks like a tighter entrance so slow down as much as you need yeah now get that clutch up slowly it will help you with the turn thank you and turn with both hands again good try and avoid crossing your arms if you can so does that turn easier now just press ok on the screen to get rid of that message that you will need to fill up fuel at some point think about what's happening with the man we've got lots of hazards on the road this morning straight ahead all right yeah straight up straight ahead from here yeah think about the position you want to be in by the end right and a bit of a fast approach there really carefully really carefully here did you realize you were going to be stopping at the end there um not too right at the end but did you realize you were on the side uh yeah yeah so you can see the hazard line,191.28,272.4,932,193,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=191,"Critical level: 7

The situation is quite critical because there are multiple hazards on the road and the instructor is instructing the learner on how to make a turn and avoid crossing their arms. There is also a warning about needing to fill up fuel and the learner approaching the end of the road with a fast approach.","What should we do with that? Oh, he's turning. Take the road on the right, just there. Now, this one here looks like a tighter entrance, so slow down as much as you need. Yeah, now get that clutch up slowly. It will help you with the turn. Thank you. And turn with both hands. Again, good try and avoid crossing your arms if you can. So, does that turn easier now? Just press ""OK"" on the screen to get rid of that message that you will need to fill up fuel at some point. Think about what's happening with the man. We've got lots of hazards on the road this morning. Straight ahead, all right? Yeah, straight up straight ahead from here. Yeah, think about the position you want to be in by the end. Right, and a bit of a fast approach there. Really carefully, really carefully here. Did you realize you were going to be stopping at the end there? Um, not too right at the end, but did you realize you were on the side? Yeah, yeah. So, you can see the hazard line."
just where the black car is in the distance in the middle of the road you can see that white line yeah the two yeah so the line just running alongside the same side as us sorry the line running up the road yeah that's your hazard line and then you can see the line going across and the giveaway sign now we are going straight so think about what you want to do first i'm just hoping he'll be parked by the time we get there also keeping an eye on the road ahead as well as the sides is again you can see the road markings ahead looking the same and turn right at the end this time that was a nicer stop than the last one might be slightly overhanging i'm not too sure,275.759,358.4,667,143,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=275,Critical level: 3. The situation is not very critical as the instructor is simply pointing out road markings and discussing the route with the student.,"Just where the black car is in the distance, in the middle of the road, you can see that white line. Yeah, the two. Yeah, so the line just running alongside the same side as us - sorry - the line running up the road, yeah, that's your hazard line. And then you can see the line going across and the giveaway sign. Now, we are going straight, so think about what you want to do first. I'm just hoping he'll be parked by the time we get there. Also, keeping an eye on the road ahead as well as the sides is again. You can see the road markings ahead looking the same and turn right at the end this time. That was a nicer stop than the last one. Might be slightly overhanging, I'm not too sure."
on approach to the large lorry parked ahead ted positions into the middle of the road nice and early giving the vehicle enough clearance you've just got to be careful in case a driver comes back out so we've got to be cautious with large vehicles along these roads as this is a wide road even with parked cars on both sides two cars can pass but you cannot pass with a large vehicle so you would have to give way to buses or make sure that they're giving way for you we want to make sure we maintain a good distance of the vehicle ahead just in case we need to stop for any reason you've got more time is anyone behind us regular mirror attacks have been driving okay so you see the road on the left here we're not turning in but imagine we were turning in there yeah that's quite a narrow entrance so we take something like that in right good clearance from the lorry though hold on okay now with that bus just use the right hand side mirror and,375.84,462.8,946,194,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=375,"I would rate this situation as a 7 because navigating around large vehicles can be dangerous and requires caution, but there are no immediate obstacles or hazards present.","On approach to the large lorry parked ahead, Ted positions into the middle of the road nice and early, giving the vehicle enough clearance. You've just got to be careful in case a driver comes back out, so we've got to be cautious with large vehicles along these roads. As this is a wide road, even with parked cars on both sides, two cars can pass, but you cannot pass with a large vehicle so you would have to give way to buses or make sure that they're giving way for you. We want to make sure we maintain a good distance from the vehicle ahead just in case we need to stop for any reason. You've got more time. Is anyone behind us? Regular mirror checks have been driving okay. So you see the road on the left here, we're not turning in, but imagine we were turning in there. That's quite a narrow entrance, so we take something like that in right. Good clearance from the lorry, though. Hold on. Okay, now with that bus, just use the right-hand side mirror."
signal you're going to have to cross the center line good but do it slightly earlier next time [Music] because you don't want to get too close on approach to the zebra crossing ahead you need to scan both sides of the crossing as large vehicles may easily hide pedestrians what does this sign here tell us yeah the road narrows oh yeah i passed my food oh yeah yeah oh that's pretty good i got 46. oh that's nice it's really good you only revised what two three weeks was it i did i did do it quite a bit before and then i kind of stopped and then i did it like twice a day for like two weeks before um it's harder to find the place because i in the shopping center so i had i've walked past about three times okay so we're coming up to some crossroads now um i'm gonna get you to try it on your own this time so the traffic lights turn right now looking at the size of the junction which one will it be,464.0,565.76,903,201,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=464,"Critical level: 6. The learner driver is being asked to navigate a crossroads on their own, which requires some level of caution and attention. However, there are traffic lights present which provide some level of guidance and control.","Signal, you're going to have to cross the center line. Good, but do it slightly earlier next time. [Music] Because you don't want to get too close on approach to the zebra crossing ahead, you need to scan both sides of the crossing as large vehicles may easily hide pedestrians. What does this sign here tell us? Yeah, the road narrows. Oh yeah, I passed my test! Oh yeah, yeah. Oh, that's pretty good. I got 46. Oh, that's nice. It's really good! You only revised what, two, three weeks? Was it? I did do it quite a bit before, and then I kind of stopped, and then I did it like twice a day for like two weeks before. Um, it's harder to find the place because I'm in the shopping center, so I walked past it about three times. Okay, we're coming up to some crossroads now. Um, I'm gonna get you to try it on your own this time. So, the traffic lights turn right. Now, looking at the size of the junction, which one will it be?"
near side or off side um near side okay make sure we don't go in that cycle box thank you,567.92,573.04,89,21,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=567,Critical level: 3 - The situation is relatively non-critical as the driver is simply reminding themselves to stay clear of the cycle box.,"Near side or off side? Um, near side. Okay, make sure we don't go in that cycle box. Thank you."
oh just next time don't come so far forward yeah because it puts us in a great position but then if somebody ahead wanted to turn yeah we haven't given them any space something okay and then turn left for that black car's just gone in good position a bit closer towards the direction you want to go slow it down a lot more if you want to go fast that's it what about the clutch what are you supposed to do with it okay because the whole point of going down to first gear was to be slow right yeah okay and then take the road on the left just here after these two cars and then lift again,588.839,651.92,587,124,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=588,Critical: 3 - The situation is not too critical as it mainly involves adjusting the position of the car and being aware of the space around other cars.,"""Oh, just next time, don't come so far forward. Yeah, because it puts us in a great position, but then if somebody ahead wanted to turn, yeah, we haven't given them any space. Something okay, and then turn left for that black car that's just gone in. Good position, a bit closer towards the direction you want to go. Slow it down a lot more if you want to go fast. That's it. What about the clutch? What are you supposed to do with it? Okay, because the whole point of going down to first gear was to be slow, right? Yeah, okay. And then take the road on the left just here after these two cars. And then, lift again."""
